Alor Setar|6.1231908|100.3683962
Batu Pahat|1.84995|102.936263
Bintulu|3.1874261|113.0472803
Bukit Mertajam|5.3636847|100.455994
Butterworth|5.3983017|100.3702372
George Town|5.416578|100.3302391
Ipoh|4.591|101.082785
Johor Bahru|1.4953041|103.7550839
Kajang|2.9900727|101.7894834
Keningau|5.3288297|116.1555399
Klang|3.0475806|101.449118
Kluang|2.031129|103.316671
Kota Kinabalu|5.9451864|116.06758
Kuala Lumpur|3.1575749|101.7007827
Kuala Terengganu|5.3182717|103.1305489
Kuantan|3.8193549|103.3288368
Kuching|1.5510296|110.3408864
Kulim|5.370786|100.554656
Malacca Town|2.1908178|102.255926
Miri|4.3618839|113.9784776
Muar|2.0443784|102.5682257
Port Dickson|2.5228943|101.7945134
Rawang|3.322484|101.5739754
Semenyih|2.948328|101.842743
Senaija|6.7505571|117.0335434
Seremban|2.7247562|101.9344913
Shah Alam|3.0686213|101.5183418
Subang Jaya|3.0567521|101.5854671
Sundar|4.8855348|115.2254681
Sungai Petani|5.6438615|100.489119
Taiping|4.847834|100.73716
Tawau|4.2635238|117.8929619
